1.0 3744.0
2.0 6896.0
3.0 5920.0
4.0 854.0
5.0 4823.0
6.0 2120.0
7.0 2167.0
8.0 3127.0
9.0 1957.0
10.0 4107.0
11.0 2239.0
12.0 1164.0
13.0 1457.0
14.0 6796.0
15.0 3129.0
16.0 8409.0
17.0 5271.0
18.0 2678.0
19.0 4435.0
20.0 1626.0
21.0 3107.0
22.0 4433.0
23.0 2185.0
24.0 3269.0
25.0 10000.0
26.0 2677.0
27.0 3537.0
28.0 1550.0
29.0 2125.0
30.0 8651.0
31.0 6605.0
32.0 5475.0
33.0 2353.0
34.0 3142.0
35.0 4876.0
36.0 7795.0
37.0 5566.0
38.0 10000.0
39.0 10000.0
40.0 2622.0
41.0 2225.0
42.0 6820.0
43.0 4496.0
44.0 4005.0
45.0 1924.0
46.0 1515.0
47.0 7366.0
48.0 8050.0
49.0 1735.0
50.0 7756.0
51.0 5278.0
52.0 1052.0
53.0 4323.0
54.0 5805.0
55.0 2431.0
56.0 1268.0
57.0 7575.0
58.0 1366.0
59.0 10000.0
60.0 4478.0
61.0 1644.0
62.0 3861.0
63.0 3777.0
64.0 10000.0
65.0 3341.0
66.0 10000.0
67.0 10000.0
68.0 8849.0
69.0 2511.0
70.0 889.0
71.0 8212.0
72.0 10000.0
73.0 3260.0
74.0 3351.0
75.0 3383.0
76.0 5434.0
77.0 9807.0
78.0 6873.0
79.0 10000.0
80.0 2945.0
81.0 10000.0
82.0 1855.0
83.0 3657.0
84.0 6643.0
85.0 8332.0
86.0 9037.0
87.0 3585.0
88.0 2558.0
89.0 7301.0
90.0 5542.0
91.0 10000.0
92.0 5554.0
93.0 10000.0
94.0 5202.0
95.0 5086.0
96.0 8663.0
97.0 1689.0
98.0 3945.0
99.0 3864.0
100.0 5704.0
